28 60,69 94,72 77,135 107,136
17 96,72 128,75 110,136 139,137
31 131,75 159,78 141,137 168,137
0 172,79 199,81 179,137 204,138
1 201,82 225,84 206,138 229,138
4 228,84 251,86 232,139 253,139
1 253,86 274,88 255,139 275,139
plate 48,39 280,67 77,152 280,152
11 131,411 151,410 125,453 145,453
22 153,410 173,410 147,453 168,453
12 175,409 195,409 170,453 191,453
4 205,408 226,407 202,452 223,452
4 228,407 251,407 225,452 249,452
5 253,406 275,406 251,452 274,452
0 278,405 301,405 277,452 301,451
plate 132,395 308,386 121,465 308,465
