30 56,83 75,81 69,119 88,118
32 78,81 99,79 90,118 111,118
23 101,78 125,76 113,118 135,117
2 136,75 163,72 147,117 172,116
6 167,72 197,69 175,116 204,116
3 199,69 233,65 206,116 238,115
5 237,65 276,61 242,115 277,114
plate 48,68 287,36 71,128 288,127
32 385,164 400,165 390,194 405,195
31 401,165 416,166 406,195 419,195
13 418,166 431,167 422,195 434,195
2 437,167 450,168 440,195 452,195
6 451,168 463,169 453,195 464,195
7 465,169 476,170 466,196 477,196
1 477,170 488,171 478,196 489,196
plate 381,151 491,160 391,202 491,203
