17 65,101 77,100 60,125 72,124
32 78,100 91,98 73,124 86,124
18 91,98 106,96 87,124 102,123
1 113,95 128,93 109,123 125,123
0 130,93 148,91 127,123 145,122
5 150,91 170,88 147,122 168,121
2 172,88 195,85 170,121 194,120
plate 66,92 202,70 58,132 201,131
12 227,203 252,201 245,247 267,247
32 254,201 280,200 270,247 294,246
10 282,200 308,198 296,246 321,246
2 321,198 349,196 332,246 359,246
3 353,196 383,195 362,246 390,245
8 385,194 417,193 392,245 421,245
9 421,193 454,191 425,245 455,244
plate 217,183 463,166 246,258 464,258
