22 82,120 96,118 92,145 105,145
31 98,118 113,116 106,145 121,144
17 114,116 131,114 123,144 139,144
8 139,113 158,111 146,144 165,143
4 160,111 182,108 167,143 188,143
2 185,108 210,105 190,143 213,142
4 213,105 242,102 216,142 243,141
plate 77,110 250,85 92,151 250,150
22 224,361 230,360 220,374 226,373
16 230,360 237,359 227,373 234,373
31 237,359 244,358 234,373 241,373
4 248,358 256,357 245,373 254,373
8 257,357 265,356 255,373 263,372
4 266,356 276,355 264,372 275,372
5 277,355 287,354 276,372 286,372
plate 224,356 291,346 218,377 290,377
