32 153,94 164,93 147,120 159,119
32 166,93 179,92 161,119 174,119
16 179,92 193,90 175,119 189,119
9 199,90 213,89 196,119 210,118
9 215,89 230,87 212,118 228,118
8 232,87 249,86 230,118 248,117
7 251,86 269,84 249,117 269,117
plate 153,84 274,72 144,127 274,127
25 68,427 83,425 80,451 94,451
13 84,425 99,424 95,451 110,451
16 100,424 118,422 111,451 127,450
4 126,422 144,420 135,450 152,450
1 147,420 167,418 154,450 173,450
8 169,418 191,416 175,449 195,449
9 194,416 219,414 198,449 220,449
plate 61,415 226,396 82,457 227,457
