18 48,387 63,385 56,414 71,414
16 65,385 81,383 72,414 88,413
25 83,383 101,381 90,413 108,413
1 110,380 131,378 116,412 136,412
6 133,378 157,375 138,412 161,411
6 160,375 187,372 164,411 190,411
1 190,372 221,368 192,410 222,410
plate 43,376 229,349 57,421 229,420
33 343,124 354,122 348,142 359,142
19 355,122 367,120 360,142 371,141
29 367,120 381,118 372,141 386,141
6 388,117 404,115 393,141 408,140
5 406,115 426,112 410,140 429,139
5 428,111 451,108 431,139 454,139
9 454,108 483,103 457,139 484,138
plate 340,116 492,86 349,147 493,146
