33 12,381 44,384 18,450 49,451
33 48,384 78,387 53,451 82,451
25 81,387 109,389 85,451 113,452
0 122,390 149,392 125,452 151,453
1 152,393 177,395 154,453 178,453
0 179,395 202,397 180,453 203,454
5 205,397 227,399 206,454 227,454
plate 5,352 233,377 16,468 233,469
22 236,128 247,129 233,151 244,151
25 248,129 257,130 245,151 255,152
27 257,130 266,131 255,152 265,152
7 270,131 279,132 269,152 278,152
3 279,132 286,133 278,152 286,152
9 287,133 295,134 287,152 294,153
4 295,134 302,134 295,153 301,153
plate 236,118 304,127 231,158 304,158
