20 52,171 76,170 68,216 91,216
25 78,170 104,169 93,216 117,216
18 106,169 132,169 119,216 142,215
9 144,168 171,167 153,215 179,215
3 173,167 200,166 181,215 206,215
3 204,166 232,165 209,215 235,215
8 234,165 263,164 238,215 264,215
plate 42,151 272,142 69,227 272,227
20 146,293 178,294 160,355 189,355
24 181,294 212,295 192,355 221,356
11 214,296 243,297 223,356 250,356
4 256,297 284,299 263,356 289,356
1 287,299 314,300 292,356 318,357
6 316,300 342,301 320,357 344,357
4 345,301 370,302 347,357 371,357
plate 137,265 377,279 160,371 377,371
