32 341,424 360,426 350,464 367,464
10 362,426 380,428 370,464 386,465
14 382,429 399,431 388,465 404,465
1 406,431 421,433 410,466 424,466
3 422,433 436,435 425,466 438,466
1 437,435 450,436 439,466 451,467
6 451,437 462,438 452,467 463,467
plate 334,406 466,426 350,474 466,475
21 75,110 90,109 64,143 79,142
10 91,108 107,106 81,142 98,142
30 109,106 126,104 99,141 118,141
3 135,103 155,101 127,141 148,140
6 157,100 180,98 150,140 174,139
5 182,97 206,94 177,139 203,138
7 210,94 237,91 206,138 236,137
plate 77,99 245,73 59,152 245,151
