26 43,39 66,39 59,79 80,79
14 68,38 91,38 82,79 104,79
31 93,37 116,37 106,79 127,79
0 128,36 153,35 138,79 161,79
9 155,35 181,34 163,79 187,78
4 184,34 210,33 189,78 213,78
4 214,33 241,32 217,78 242,78
plate 34,21 248,10 61,89 249,89
32 151,462 165,464 157,493 170,493
10 167,464 181,466 171,493 185,493
17 182,466 194,467 186,493 197,494
2 200,468 210,469 202,494 212,494
6 211,469 222,470 213,494 223,494
6 223,470 232,471 224,494 233,494
1 233,472 242,473 233,494 242,495
plate 147,450 244,464 157,499 244,499
