17 299,130 321,131 304,172 325,172
27 322,131 342,132 326,172 346,172
10 343,132 363,133 347,172 366,172
0 371,134 389,134 374,172 391,173
2 391,134 408,135 393,173 409,173
6 410,135 426,136 411,173 427,173
6 428,136 444,137 429,173 444,173
plate 295,112 449,122 303,183 449,183
19 64,350 80,350 58,387 75,387
30 82,351 98,351 77,388 94,388
14 99,351 115,352 95,388 112,388
8 122,353 136,353 119,388 133,388
0 137,353 151,354 135,388 149,388
3 153,354 167,355 151,388 166,389
7 167,355 181,356 167,389 181,389
plate 64,336 184,343 54,398 184,398
