17 76,211 90,208 65,240 79,240
14 92,208 107,205 80,240 96,239
13 109,205 126,202 97,239 116,238
9 136,200 158,196 125,238 148,236
4 160,196 187,191 151,236 179,235
7 189,191 220,185 181,235 215,233
7 224,185 263,178 219,233 261,231
plate 79,200 275,157 60,249 274,247
12 145,92 155,91 137,117 148,117
22 157,91 168,91 150,117 161,117
31 169,91 181,90 163,117 176,117
7 187,90 199,89 182,117 195,116
8 200,89 213,88 196,116 210,116
6 214,88 228,88 211,116 226,116
4 230,88 243,87 228,116 243,116
plate 146,83 247,77 133,125 247,125
