10 42,261 63,262 53,301 73,301
17 65,262 86,262 74,301 94,301
18 87,263 107,263 95,301 114,301
5 116,263 135,264 122,301 139,301
6 137,264 155,265 141,301 158,301
4 157,265 175,265 160,301 177,301
9 177,265 194,266 179,301 195,302
plate 34,243 199,250 54,311 199,311
11 132,43 147,42 118,77 133,77
31 149,42 165,40 135,77 152,76
25 166,40 183,39 154,76 172,76
8 190,38 209,37 180,76 200,75
7 211,36 230,35 202,75 224,74
5 232,35 253,33 226,74 249,74
1 255,32 278,30 251,74 277,73
plate 136,32 284,16 111,88 283,87
