29 307,25 325,24 315,60 332,59
12 327,24 345,23 334,59 352,59
26 347,23 366,22 353,59 372,59
3 374,22 395,21 380,59 399,59
0 397,21 418,20 401,59 421,58
4 420,20 442,19 423,58 444,58
8 444,19 467,18 446,58 468,58
plate 302,11 473,1 315,67 474,67
15 25,178 59,181 37,247 69,247
29 62,181 94,184 72,247 102,248
29 96,184 126,186 104,248 132,249
4 139,187 167,189 145,249 171,249
4 170,189 196,191 174,249 198,250
4 198,192 222,193 200,250 224,250
9 225,194 248,195 226,250 248,251
plate 16,149 254,173 37,264 254,265
