29 281,30 293,28 267,59 280,59
11 294,28 308,27 281,59 295,58
31 309,26 324,25 297,58 313,58
6 330,24 347,22 320,58 338,57
8 348,22 366,20 339,57 359,56
6 368,19 388,17 361,56 383,55
6 390,17 412,14 386,55 411,55
plate 284,21 418,1 262,67 418,66
30 68,111 83,112 71,141 85,142
33 84,112 98,113 87,142 100,142
32 101,113 114,114 102,142 115,142
9 119,114 131,115 120,142 132,142
1 132,115 144,116 133,142 145,143
1 146,116 157,117 146,143 157,143
6 158,117 168,118 158,143 168,143
plate 66,98 171,108 71,150 171,150
