15 26,92 53,95 33,151 59,151
28 56,96 80,99 61,151 84,152
14 83,100 105,103 87,152 108,153
5 113,104 133,107 116,153 135,154
0 135,107 152,109 137,154 154,154
2 154,109 170,112 155,155 171,155
0 172,112 187,114 172,155 187,156
plate 20,68 190,99 32,164 190,165
26 175,245 184,246 171,266 181,266
30 185,246 194,246 182,266 192,266
21 194,246 203,247 192,266 201,267
6 207,247 215,247 205,267 214,267
4 216,248 223,248 215,267 222,267
1 224,248 232,248 223,267 231,267
1 232,249 239,249 232,267 239,267
plate 176,237 241,242 168,272 241,273
