26 67,123 88,126 58,173 81,174
20 90,126 109,129 83,174 104,175
17 110,129 128,132 105,175 124,175
3 136,133 151,135 132,176 148,176
2 152,135 166,137 150,176 165,177
3 168,138 180,139 166,177 180,178
1 182,140 194,141 181,178 193,178
plate 68,103 197,128 52,188 197,189
31 292,231 318,233 282,293 310,294
27 320,233 346,235 312,294 340,294
24 348,236 372,237 342,294 367,295
3 383,238 405,240 378,295 402,296
7 407,240 428,242 404,296 426,296
5 431,242 451,244 428,296 449,297
3 452,244 471,245 451,297 471,297
plate 292,208 477,227 275,311 476,312
