23 93,361 105,360 85,390 98,389
13 107,360 120,359 100,389 114,389
21 121,359 135,359 115,389 130,389
6 142,358 155,358 137,389 151,389
8 157,357 172,357 153,389 169,388
7 173,357 189,356 171,388 188,388
5 190,356 207,355 189,388 206,388
plate 94,350 211,343 82,398 211,398
20 332,352 349,354 328,395 346,395
31 352,354 369,356 349,395 367,396
16 371,356 387,358 368,396 385,396
6 394,359 408,360 392,396 407,397
1 410,360 423,362 409,397 422,397
4 425,362 438,363 424,397 438,397
1 439,363 451,364 438,398 451,398
plate 331,336 454,352 324,407 454,407
