27 77,386 93,387 83,421 98,421
32 95,387 111,388 100,421 115,421
18 113,388 129,389 117,421 132,421
1 135,390 150,390 138,421 152,422
1 151,391 165,391 153,422 167,422
8 166,391 180,392 168,422 181,422
4 182,392 194,393 182,422 194,422
plate 72,372 197,382 82,429 197,430
31 237,173 246,171 242,189 250,189
27 247,171 258,169 251,189 262,188
11 258,169 270,168 263,188 275,188
1 276,167 291,164 280,188 294,187
3 293,164 309,162 296,187 313,187
2 312,161 334,158 315,187 336,186
3 335,158 363,154 338,186 363,185
plate 234,166 370,138 242,194 371,193
