19 56,424 70,423 51,456 66,455
29 72,423 87,421 67,455 83,455
12 89,421 105,420 85,455 102,455
3 113,419 131,418 109,454 128,454
9 133,418 152,416 130,454 150,454
9 154,416 175,414 152,454 174,453
4 177,414 199,412 176,453 199,453
plate 56,413 206,397 48,464 205,463
33 84,162 118,166 94,230 126,231
24 120,167 150,171 128,231 157,232
15 153,171 179,175 159,232 183,233
0 191,177 213,180 195,234 216,234
7 215,180 237,183 218,234 239,235
8 239,184 257,186 240,235 258,236
2 260,187 277,189 261,236 277,236
plate 76,131 281,170 94,248 282,249
