20 63,421 92,424 71,480 99,481
26 95,424 121,427 101,481 126,482
26 124,428 148,431 129,482 152,482
8 158,432 179,434 161,483 182,483
7 181,435 201,437 184,483 203,484
6 203,437 222,439 205,484 222,484
5 223,439 240,441 224,484 241,485
plate 56,395 244,424 71,495 244,496
15 340,170 348,169 346,184 354,184
30 349,169 358,168 355,184 363,184
13 360,168 370,166 365,184 375,184
9 374,166 387,164 379,183 391,183
0 388,164 401,163 392,183 405,183
9 404,162 420,160 407,183 422,182
1 422,160 441,158 424,182 442,182
plate 337,164 446,146 347,188 447,187
