28 116,303 140,304 124,351 147,351
30 143,304 166,305 149,351 172,351
16 169,305 191,306 174,351 196,352
5 201,306 223,307 205,352 226,352
3 225,307 247,308 228,352 249,352
9 249,308 270,309 251,352 271,352
8 272,309 292,309 273,352 292,352
plate 110,283 297,292 123,364 297,364
30 70,50 83,47 64,77 77,77
29 84,47 100,45 78,77 94,76
17 101,44 119,42 96,76 113,75
4 128,40 150,36 122,75 145,74
1 152,36 177,32 147,74 173,73
9 180,32 210,27 176,73 207,71
0 213,26 249,20 210,71 248,70
plate 70,39 261,0 61,85 260,84
