28 73,64 90,63 58,103 76,103
30 91,62 110,61 77,103 97,102
14 112,61 131,59 99,102 120,102
2 140,58 162,56 130,101 153,101
8 164,56 187,53 155,101 180,100
7 190,53 215,51 184,100 211,99
3 217,51 244,48 213,99 243,99
plate 76,51 252,30 51,115 251,114
26 140,431 155,430 149,460 164,459
28 157,430 173,428 165,459 181,459
31 175,428 193,426 183,459 200,459
3 201,426 220,424 207,459 226,458
1 223,424 244,422 228,458 249,458
8 247,422 271,420 251,458 274,457
8 273,419 300,417 276,457 301,457
plate 135,420 307,400 150,466 308,466
