17 385,196 395,196 379,221 390,221
30 397,195 408,195 392,221 403,221
17 410,195 422,194 405,221 418,221
0 428,194 441,193 424,221 438,221
3 442,193 455,193 439,221 453,220
5 456,193 470,192 454,220 469,220
3 472,192 485,191 471,220 485,220
plate 385,187 490,181 375,229 490,229
16 72,359 86,360 63,393 78,394
11 88,360 101,361 80,394 94,394
14 103,361 116,362 96,394 111,394
5 121,362 133,363 117,394 130,395
9 134,363 146,364 131,395 144,395
8 147,364 158,365 145,395 157,395
0 160,365 170,366 158,395 169,396
plate 73,347 173,356 58,404 172,404
