17 73,49 95,52 62,104 86,104
30 97,52 117,55 89,104 111,105
12 119,55 138,57 113,105 133,106
0 145,58 162,60 141,106 159,107
2 164,61 179,63 161,107 177,107
8 181,63 196,65 179,107 194,108
2 197,65 211,67 196,108 210,108
plate 74,30 214,53 57,118 214,119
10 177,337 184,336 171,352 179,352
28 184,335 192,334 179,352 187,351
28 194,334 203,333 189,351 198,351
6 207,332 217,331 202,351 213,350
7 218,330 230,329 214,350 227,350
8 232,328 246,326 229,350 244,349
7 248,326 264,324 246,349 263,348
plate 178,331 268,314 169,357 268,356
