19 34,33 63,35 42,91 69,92
14 66,35 93,37 72,92 98,92
28 96,38 120,39 100,92 124,93
5 132,40 155,42 135,93 157,94
2 157,42 179,44 159,94 181,94
2 181,44 201,46 183,94 202,94
5 204,46 223,48 205,95 224,95
plate 29,7 228,28 41,107 229,107
14 199,386 217,388 208,424 225,424
33 219,388 236,389 227,424 243,425
10 239,390 255,391 245,425 260,425
8 262,392 277,393 266,425 281,426
1 278,393 293,395 282,426 295,426
5 294,395 307,396 296,426 308,426
7 309,396 320,397 310,426 320,427
plate 191,369 323,386 208,434 324,434
