18 29,225 55,224 42,274 67,274
32 58,224 84,223 70,274 95,274
32 86,223 113,222 97,274 122,273
4 126,222 154,221 134,273 161,273
9 157,221 186,220 164,273 191,273
9 188,220 218,219 193,273 221,273
5 222,219 252,218 224,273 253,273
plate 20,203 260,194 43,286 261,286
13 140,6 148,5 146,20 153,20
24 149,5 158,4 154,20 163,20
22 159,4 168,3 164,20 172,19
1 173,3 183,1 177,19 187,19
9 184,1 197,0 188,19 200,19
5 198,0 211,0 201,19 213,19
9 213,0 229,-2 214,19 229,18
plate 138,0 232,-11 147,23 232,22
