14 92,24 113,26 96,70 116,70
12 116,26 135,29 118,70 138,71
17 137,29 155,32 139,71 156,71
4 162,32 177,34 164,72 178,72
8 179,35 193,36 180,72 194,73
5 195,37 208,38 195,73 209,73
5 209,38 222,40 209,73 222,73
plate 88,4 225,27 94,82 225,82
22 380,169 387,168 384,182 391,182
21 388,168 396,167 391,182 399,182
27 397,167 407,165 401,182 410,181
1 411,165 423,163 414,181 425,181
7 424,163 437,161 426,181 439,180
5 440,161 456,158 442,180 457,180
5 457,158 477,155 459,180 478,179
plate 378,164 483,144 384,186 483,185
