12 79,297 93,297 88,323 101,323
13 95,296 110,296 103,323 117,323
11 111,296 127,295 118,323 133,323
8 134,294 150,293 140,323 155,322
0 152,293 169,292 157,322 173,322
6 172,292 191,291 175,322 194,322
5 193,291 213,289 195,322 214,322
plate 74,286 219,275 89,330 219,330
25 323,448 342,449 330,487 348,488
33 344,449 363,450 350,488 368,488
15 364,451 382,452 369,488 386,488
1 390,452 406,453 394,488 409,489
6 408,453 423,454 411,489 425,489
0 425,454 441,455 427,489 442,489
7 442,455 456,456 443,489 457,489
plate 317,431 460,443 330,497 460,498
