28 55,397 81,399 68,448 93,449
26 84,399 110,400 95,449 119,449
15 112,400 136,402 121,449 143,450
6 146,403 169,404 153,450 174,450
2 171,404 193,405 176,450 197,450
0 195,405 216,407 198,450 218,451
9 218,407 238,408 220,451 238,451
plate 46,374 243,390 69,461 243,462
13 314,418 332,419 322,456 339,456
19 334,420 351,421 341,456 356,457
14 354,421 370,423 359,457 374,457
0 377,424 392,425 380,457 394,458
9 393,425 407,427 395,458 408,458
8 408,427 421,428 409,458 422,458
4 423,428 434,429 423,458 434,458
plate 307,401 437,418 322,465 437,466
