24 63,337 75,337 55,366 68,366
27 77,337 90,336 70,366 84,366
33 91,336 105,335 85,366 100,365
8 111,335 125,334 106,365 121,365
1 127,334 141,333 123,365 138,365
0 143,333 159,332 140,365 157,365
3 160,332 177,331 159,365 176,364
plate 64,327 181,319 52,374 181,374
33 236,155 247,153 221,181 233,180
29 248,153 261,151 234,180 247,179
31 262,151 277,148 248,179 264,179
4 284,147 301,144 271,178 290,177
4 303,144 323,140 291,177 313,176
8 325,140 349,136 316,176 342,175
8 351,136 379,131 345,174 377,173
plate 240,146 386,116 215,189 385,187
