23 58,322 70,321 70,343 82,343
29 71,321 85,319 83,343 96,342
32 86,319 102,317 97,342 112,342
6 109,317 127,314 119,342 136,341
4 129,314 150,312 138,341 157,341
9 152,312 176,309 159,341 181,340
8 179,309 207,305 183,340 208,339
plate 51,313 216,287 72,348 217,347
30 379,461 392,463 375,493 389,493
20 393,463 406,465 390,494 404,494
13 407,465 417,467 405,494 416,495
6 422,468 431,469 421,495 430,495
7 432,470 441,471 431,495 441,496
9 442,471 449,473 441,496 449,496
5 450,473 458,474 450,496 458,496
plate 379,449 459,466 373,501 459,502
