22 280,458 290,458 273,481 284,481
15 290,458 301,458 285,481 296,480
30 302,457 313,457 297,480 309,480
8 317,457 328,456 313,480 325,480
2 329,456 340,456 326,480 338,480
7 342,456 354,455 340,480 353,480
5 355,455 367,455 354,480 367,480
plate 281,450 370,446 271,488 370,487
17 32,155 61,156 46,209 72,209
21 63,156 91,157 75,209 100,210
26 93,158 118,159 102,210 126,210
3 131,159 154,160 137,210 159,210
5 157,161 181,162 161,210 184,210
4 183,162 205,163 186,211 207,211
9 208,163 229,164 209,211 229,211
plate 24,130 235,144 47,223 235,223
