18 74,103 90,101 65,139 82,138
10 92,101 110,99 83,138 102,138
26 112,98 131,96 104,138 124,137
1 141,95 164,93 134,137 158,136
1 166,92 190,90 160,136 185,135
9 193,89 220,87 188,135 217,134
9 222,86 252,83 219,134 251,133
plate 75,90 261,64 60,149 261,148
20 112,283 122,284 106,308 118,308
15 124,285 133,286 119,308 130,309
31 133,286 142,287 130,309 140,309
5 146,288 154,289 144,309 152,310
4 154,289 161,290 153,310 160,310
4 162,290 168,291 161,310 168,310
6 169,292 174,292 168,310 174,311
plate 112,272 176,285 103,316 176,316
