14 79,104 90,103 87,125 98,125
25 92,103 103,102 100,125 111,125
22 105,102 119,101 112,125 125,124
2 125,100 140,99 131,124 145,124
2 141,99 158,98 146,124 161,124
8 159,98 176,97 163,124 179,123
5 179,96 197,95 181,123 198,123
plate 74,95 203,82 88,130 203,130
31 73,280 100,282 62,344 91,344
23 104,282 130,284 94,344 122,345
31 132,284 157,285 124,345 151,345
7 168,286 192,287 163,345 188,346
1 195,287 218,288 191,346 215,346
0 220,289 242,290 217,346 241,346
5 245,290 266,291 243,346 266,347
plate 74,257 272,271 56,362 272,363
