27 74,287 86,285 69,313 82,313
31 88,285 101,283 83,313 97,312
25 103,283 118,281 99,312 114,312
9 125,280 142,278 121,312 139,311
6 144,278 164,275 141,311 161,310
5 166,275 189,272 164,310 187,309
8 191,272 217,268 189,309 216,308
plate 75,278 224,253 67,320 224,319
28 149,25 163,27 143,59 159,59
17 165,27 177,29 160,59 174,60
26 180,29 191,31 176,60 188,60
3 196,31 207,33 193,60 205,61
0 208,33 218,34 206,61 216,61
9 219,34 228,35 218,61 228,62
9 229,36 238,37 229,62 238,62
plate 150,13 240,28 140,69 240,70
