27 346,386 353,385 343,401 351,401
27 354,385 362,384 351,401 360,401
9 366,384 375,383 364,400 373,400
1 376,382 386,381 374,400 384,400
1 387,381 398,380 385,400 397,399
0 399,380 411,378 398,399 411,399
plate 346,381 413,372 342,405 413,404
14 198,435 210,433 189,460 201,460
14 211,433 224,431 202,460 216,459
5 231,430 246,428 223,459 239,458
5 248,427 266,425 241,458 260,457
2 268,424 287,421 262,457 283,456
6 289,421 311,418 286,456 310,455
plate 200,426 317,405 185,467 316,466
