28 56,356 80,357 64,404 88,404
25 83,357 106,358 90,404 113,404
16 109,358 132,358 115,404 137,404
7 142,359 164,360 146,405 167,405
8 166,360 188,361 169,405 190,405
5 190,361 211,361 192,405 212,405
3 213,362 233,362 214,405 233,405
plate 49,335 238,345 64,416 238,417
16 181,138 195,138 189,165 202,165
23 196,138 210,139 203,165 216,165
27 213,139 226,139 218,165 231,165
3 232,139 245,140 236,165 248,166
9 246,140 259,140 249,166 261,166
3 261,140 274,141 263,166 275,166
6 275,141 287,141 276,166 287,166
plate 176,126 290,130 189,172 290,172
