15 91,406 100,405 87,424 96,424
14 100,405 110,404 97,424 106,423
30 111,404 121,403 108,423 118,423
9 125,402 137,401 123,423 134,423
7 138,401 150,400 135,423 148,422
3 152,400 165,398 150,422 164,422
3 166,398 181,397 165,422 180,421
plate 92,399 185,387 85,429 184,429
27 49,228 84,232 57,303 91,304
12 88,233 120,236 95,304 126,305
28 123,237 152,240 128,305 156,306
0 165,242 192,245 169,306 194,307
4 195,245 219,248 197,307 221,308
8 221,248 244,251 223,308 245,308
3 246,251 267,253 247,308 268,309
plate 41,196 273,231 55,322 273,323
