32 84,420 92,419 81,439 90,439
32 93,419 103,419 90,439 100,439
11 104,419 113,418 101,439 111,438
9 117,418 127,418 115,438 125,438
1 128,418 139,417 126,438 137,438
4 140,417 150,417 138,438 149,438
3 151,416 163,416 150,438 163,438
plate 84,413 165,408 79,443 165,443
21 103,21 117,19 111,46 124,45
31 118,19 134,17 125,45 141,45
10 135,17 152,14 142,44 159,44
5 162,13 183,10 168,44 189,43
3 185,10 211,6 191,43 216,42
8 214,5 244,1 218,42 247,41
0 248,0 285,-4 252,41 287,40
plate 99,11 297,-26 112,52 297,51
