29 329,143 344,142 317,178 333,178
22 345,142 360,141 334,178 351,177
10 362,141 378,140 352,177 370,177
2 385,140 402,139 377,177 395,177
0 404,138 422,137 397,177 417,176
0 424,137 442,136 419,176 439,176
4 444,136 464,135 441,176 463,175
plate 331,132 469,121 312,187 469,187
14 73,127 93,125 80,166 100,166
19 95,125 117,123 102,166 124,165
18 119,123 143,121 126,165 149,165
2 155,120 181,117 160,164 186,164
4 184,117 213,115 189,164 217,163
1 216,114 248,112 219,163 250,163
3 251,111 286,108 253,163 287,162
plate 67,111 296,84 80,176 297,176
