31 62,378 75,376 74,401 86,401
21 76,376 91,374 88,401 102,400
19 92,374 109,372 103,400 119,400
5 116,371 136,369 126,400 145,399
3 138,369 161,366 147,399 168,399
5 163,366 189,363 170,399 194,398
6 192,362 223,359 197,398 225,397
plate 55,369 232,340 75,406 233,406
32 161,195 190,199 154,263 184,264
31 193,199 220,202 186,264 215,265
18 222,203 247,206 218,265 243,266
7 258,207 281,210 254,266 278,267
3 282,210 303,212 280,267 301,268
1 305,213 325,215 304,268 324,268
7 326,215 344,217 325,269 344,269
plate 161,169 349,199 147,283 349,284
