14 37,75 65,79 44,135 70,136
18 67,80 92,83 73,136 96,137
15 94,84 116,87 99,137 120,138
6 125,88 144,91 128,138 146,139
3 146,91 164,94 148,139 165,140
2 166,94 182,97 167,140 182,140
4 183,97 198,99 184,140 198,141
plate 31,51 201,84 43,149 201,150
13 262,276 292,277 273,335 301,336
23 294,277 323,279 303,336 331,336
27 326,279 353,280 333,336 359,336
4 365,281 391,283 370,336 395,337
3 393,283 418,284 397,337 421,337
4 421,284 444,285 424,337 446,337
1 446,285 469,287 448,337 469,338
plate 254,250 475,266 273,350 476,351
