28 43,354 73,356 53,417 82,417
33 76,356 106,359 84,417 112,418
26 108,359 135,361 115,418 140,418
9 147,361 173,363 152,418 177,419
1 175,363 199,365 179,419 202,419
7 202,365 225,367 205,419 226,420
1 227,367 248,369 228,420 249,420
plate 35,327 254,348 52,433 255,433
30 196,104 225,106 186,171 216,171
21 228,107 255,109 220,171 248,172
18 257,109 283,111 251,172 278,172
7 294,112 318,114 290,173 315,173
6 321,114 344,115 318,173 342,174
9 346,116 368,117 344,174 366,174
9 370,117 391,119 369,174 391,175
plate 196,79 396,99 180,190 396,191
