13 59,327 72,326 65,352 78,352
22 74,326 89,324 79,352 94,351
22 90,323 108,321 96,351 113,351
6 116,320 136,318 121,350 141,350
3 138,317 162,314 143,350 166,349
8 165,314 192,310 168,349 195,348
4 195,310 228,306 198,348 229,347
plate 55,317 237,287 65,359 237,358
23 358,226 368,224 362,244 373,244
29 369,224 381,222 373,244 385,243
16 382,222 396,220 386,243 399,243
7 402,219 418,217 406,243 422,242
3 420,217 440,214 424,242 442,241
0 442,213 465,210 445,241 467,241
1 468,209 496,205 470,240 497,239
plate 355,218 506,188 362,249 506,248
