29 68,473 82,473 65,505 79,505
23 84,473 98,474 81,505 95,505
28 100,474 113,474 97,505 112,506
9 119,475 133,475 118,506 131,506
3 134,475 147,476 132,506 146,506
6 148,476 160,476 147,506 160,506
6 162,477 173,477 162,506 173,506
plate 67,461 177,466 62,514 177,515
11 109,280 118,279 101,302 110,301
20 119,279 130,277 111,301 123,301
17 131,277 143,276 123,301 136,300
1 149,275 162,273 142,300 156,300
2 164,273 178,271 158,300 174,299
8 181,270 199,268 176,299 195,298
3 200,268 220,265 197,298 219,297
plate 111,273 226,253 97,308 226,307
