30 66,21 88,23 58,73 81,74
11 90,23 110,25 83,74 104,74
17 112,26 131,28 107,74 127,75
4 138,28 156,30 135,75 153,75
2 157,30 174,32 155,75 172,76
0 175,32 191,34 174,76 190,76
0 192,34 207,35 191,76 207,77
plate 66,3 211,21 53,87 211,87
26 278,254 290,254 281,281 293,281
22 292,255 305,256 294,281 307,281
22 306,256 317,256 308,281 319,281
3 322,257 333,258 324,282 334,282
8 334,258 344,259 335,282 345,282
5 345,259 355,259 346,282 355,282
4 356,259 365,260 356,282 365,282
plate 275,243 367,252 281,287 367,287
