11 79,176 96,179 75,219 93,219
30 99,179 114,182 96,220 112,220
20 116,182 131,185 114,220 129,221
4 137,186 149,188 135,221 148,222
4 150,188 162,190 149,222 161,222
5 163,190 173,192 162,223 173,223
5 175,192 184,194 174,223 183,223
plate 78,160 186,184 71,231 186,232
14 99,380 105,379 93,396 99,395
15 107,379 114,377 101,395 108,395
22 116,377 125,375 110,395 120,394
2 130,375 142,372 124,394 137,394
8 143,372 157,370 138,393 152,393
0 158,370 175,367 154,393 172,392
4 177,366 197,363 174,392 196,391
plate 100,375 203,352 90,400 203,399
