24 78,440 92,438 65,471 79,471
23 93,438 107,437 81,471 96,470
29 109,437 124,435 98,470 114,470
6 131,435 147,433 121,470 139,469
2 149,433 167,431 141,469 161,469
4 169,431 188,429 163,469 184,468
2 190,429 211,427 187,468 210,467
plate 81,430 217,414 60,480 217,479
27 263,11 270,10 253,28 260,28
29 271,10 279,9 262,28 270,28
25 280,8 290,7 271,28 281,27
2 294,6 306,4 286,27 298,26
5 307,4 320,2 299,26 314,25
7 321,1 337,0 315,25 333,24
7 339,-1 357,-4 335,24 355,23
plate 265,6 363,-14 249,34 362,33
