29 30,155 61,157 43,217 73,218
31 65,157 95,158 76,218 104,218
10 97,158 127,159 107,218 134,218
2 140,160 168,161 146,218 173,219
6 171,161 198,162 176,219 201,219
8 200,162 226,163 203,219 228,219
9 229,163 254,164 231,219 255,219
plate 21,128 261,141 43,233 261,233
17 52,335 89,339 70,409 103,410
16 93,340 127,343 107,410 138,410
29 129,343 160,346 140,410 169,411
3 174,348 202,350 182,411 208,412
5 205,351 231,353 210,412 235,413
6 233,354 257,356 237,413 259,413
2 260,356 282,359 262,413 283,414
plate 39,302 288,335 71,427 289,428
