10 328,97 342,96 315,132 330,132
31 344,96 359,95 332,132 349,132
15 361,95 377,94 350,132 368,131
5 384,94 400,93 375,131 393,131
8 402,93 420,92 395,131 415,131
2 422,92 440,90 417,131 437,130
5 442,90 461,89 439,130 460,130
plate 330,86 467,76 309,142 466,141
29 82,362 91,361 75,384 85,383
25 92,361 102,360 86,383 96,383
33 104,360 115,359 98,383 110,383
0 120,358 133,357 115,383 129,382
9 134,357 148,356 130,382 144,382
0 149,356 164,354 146,382 162,381
0 166,354 181,352 164,381 181,381
plate 83,355 186,342 72,390 186,389
