19 229,359 253,362 218,415 244,416
32 255,362 277,365 246,416 270,417
30 279,365 300,367 272,417 294,418
2 308,368 327,370 303,418 323,418
7 328,371 346,373 325,418 343,419
0 347,373 364,375 345,419 362,420
4 365,375 381,377 364,420 380,420
plate 231,339 384,361 212,432 384,433
31 44,40 67,39 60,80 81,80
13 69,39 92,38 83,80 104,79
30 94,38 117,37 106,79 128,79
5 129,37 153,36 139,79 161,79
8 155,36 182,34 163,79 188,79
5 184,34 211,33 190,79 214,78
8 214,33 242,32 217,78 243,78
plate 35,22 249,10 62,90 250,89
