22 83,230 101,229 94,263 111,263
10 102,229 121,228 112,263 130,263
20 123,228 142,227 132,263 150,263
1 150,227 171,226 158,263 177,262
7 173,225 195,224 179,262 199,262
1 197,224 220,223 201,262 223,262
3 222,223 246,221 225,262 247,262
plate 77,217 253,205 95,271 253,270
25 266,164 282,162 282,194 298,193
27 284,162 303,160 300,193 318,193
13 305,160 326,157 320,193 340,192
8 337,156 363,153 350,192 374,191
6 365,153 394,150 376,191 403,191
1 398,149 431,145 407,191 437,190
4 434,145 473,141 440,190 475,189
plate 257,152 485,116 284,201 486,200
