18 425,170 433,170 433,184 440,184
13 434,170 443,169 441,184 449,183
28 443,169 452,168 450,183 459,183
7 457,167 468,166 463,183 473,183
9 469,166 482,165 474,183 486,183
1 483,164 497,163 488,183 500,182
6 499,163 516,161 501,182 517,182
plate 422,165 519,151 434,187 520,186
28 40,151 62,149 55,192 76,192
24 65,149 89,147 78,192 101,191
29 90,147 116,145 103,191 127,191
5 128,145 156,143 138,191 165,190
6 159,142 189,140 168,190 196,190
3 192,140 224,138 198,190 228,189
4 228,138 263,135 232,189 264,189
plate 31,133 273,110 56,202 273,202
