23 27,197 39,196 31,220 42,219
30 40,196 53,195 44,219 56,219
31 54,195 68,193 57,219 71,219
5 75,192 90,191 78,219 92,218
3 92,191 109,189 94,218 111,218
2 111,189 131,187 113,218 132,217
9 132,187 154,185 133,217 155,217
plate 24,188 160,170 31,226 160,225
23 61,413 83,414 51,462 73,462
28 85,414 105,415 76,462 98,463
21 107,416 127,417 100,463 121,463
8 135,417 154,418 130,463 150,463
4 156,418 175,419 152,463 172,464
3 176,419 194,420 174,464 193,464
7 196,420 213,421 195,464 213,464
plate 63,396 218,405 45,477 217,477
