20 58,350 74,348 73,375 88,375
21 75,348 92,345 89,375 106,374
14 94,345 112,343 107,374 125,374
8 123,342 145,339 135,373 156,373
7 147,339 175,335 158,373 184,372
6 177,335 208,331 186,372 215,371
4 213,330 250,326 219,371 252,370
plate 50,339 261,302 76,381 262,380
19 218,102 251,107 225,169 256,170
14 253,107 282,111 258,171 286,171
14 285,111 310,115 289,172 313,172
6 322,116 344,119 324,173 346,174
0 346,120 367,123 347,174 368,174
4 369,123 387,125 370,174 388,175
3 389,126 406,128 390,175 407,176
plate 213,73 411,109 223,187 411,188
