24 75,248 88,249 67,282 81,282
30 90,249 103,250 84,282 97,282
12 105,250 118,251 99,282 114,283
1 124,251 136,252 120,283 133,283
5 137,252 149,253 134,283 147,283
1 150,253 162,254 148,283 160,283
5 163,254 174,254 162,283 173,284
plate 75,237 177,244 62,292 177,292
10 162,375 188,378 170,431 195,432
33 191,378 215,381 197,432 220,432
24 217,381 239,384 222,432 243,433
9 248,385 268,387 251,433 270,434
8 270,387 288,389 272,434 289,434
4 290,390 306,392 291,434 307,435
5 308,392 324,394 309,435 324,435
plate 156,353 328,378 169,444 328,445
