21 68,132 81,131 73,157 86,156
10 82,131 97,130 87,156 101,156
10 98,130 114,128 102,156 118,156
3 121,127 138,126 125,155 142,155
7 141,125 160,123 144,155 162,155
5 162,123 183,121 164,155 185,154
4 186,121 210,118 187,154 210,153
plate 64,122 217,102 73,163 217,163
14 115,370 126,371 110,397 122,397
16 127,371 138,372 123,397 135,397
20 139,372 149,373 136,397 146,397
6 154,373 163,374 151,397 161,398
8 164,374 173,375 162,398 172,398
2 174,375 182,375 173,398 181,398
2 183,375 192,376 182,398 191,398
plate 115,361 193,369 107,403 193,404
