26 73,217 87,218 79,245 92,245
12 88,218 102,218 94,245 107,245
12 105,218 118,219 109,245 121,245
6 124,219 136,219 127,245 139,246
9 137,219 150,220 140,246 152,246
6 152,220 164,220 154,246 165,246
4 165,221 177,221 166,246 177,246
plate 69,205 180,210 79,252 180,253
21 356,314 363,313 348,330 355,330
31 364,313 372,311 356,330 364,329
31 373,311 382,310 366,329 375,329
1 386,309 396,308 379,329 390,328
5 397,308 408,306 391,328 403,328
3 410,306 423,304 406,327 420,327
2 425,304 439,302 421,327 438,326
plate 359,308 443,293 344,335 443,334
