30 58,105 87,107 69,161 96,162
28 90,108 116,110 98,162 123,163
22 119,110 143,113 125,163 148,163
3 153,114 175,116 157,163 178,164
1 177,116 198,118 180,164 200,165
0 200,118 219,120 202,165 220,165
5 221,120 239,122 222,165 239,165
plate 51,80 243,105 69,176 243,177
16 299,122 308,121 303,138 311,137
26 308,121 317,120 312,137 321,137
16 319,120 329,119 322,137 332,137
5 334,118 346,117 337,137 348,136
5 347,117 360,115 349,136 362,136
8 363,115 378,113 364,136 379,135
3 380,113 397,111 381,135 398,135
plate 297,116 402,100 303,142 403,141
