19 131,11 139,10 138,24 145,24
11 140,10 148,10 146,24 154,24
30 148,10 157,9 154,24 162,24
6 161,9 171,8 166,24 175,24
9 172,8 182,7 176,24 185,23
3 183,7 194,7 186,23 196,23
0 196,7 207,6 197,23 207,23
plate 127,4 211,-3 138,28 211,27
24 35,92 66,96 45,154 74,155
22 69,96 96,100 77,155 103,156
11 99,101 124,104 105,156 128,157
6 134,105 155,108 138,157 158,158
5 157,109 177,111 160,158 179,159
6 179,112 197,114 181,159 198,160
6 199,114 215,117 199,160 215,160
plate 27,64 219,99 45,170 219,172
