15 241,28 266,33 228,91 257,92
18 269,33 292,37 259,92 284,93
19 294,38 315,41 287,94 309,95
6 323,43 341,46 318,95 337,96
3 342,46 359,49 339,96 357,97
9 360,49 375,52 358,97 374,98
5 377,52 390,55 376,98 390,99
plate 243,6 394,39 221,110 393,112
23 41,187 71,192 28,259 60,260
11 73,192 100,196 62,260 92,262
16 102,197 126,200 94,262 120,263
7 136,202 158,206 131,263 154,264
6 160,206 179,209 156,264 176,265
8 181,209 199,212 179,265 197,266
1 200,212 216,215 199,266 216,267
plate 43,161 221,197 20,281 221,282
