32 71,452 83,453 65,481 78,482
21 84,453 96,455 79,482 92,482
15 97,455 106,456 93,482 103,483
8 111,457 120,458 108,483 118,483
1 121,458 130,460 119,483 128,483
5 130,460 138,461 129,484 137,484
7 139,461 146,462 138,484 146,484
plate 72,442 148,454 62,489 148,490
33 337,102 360,104 343,148 365,148
18 361,104 383,106 367,148 387,149
33 384,106 405,108 388,149 408,149
4 413,108 431,110 416,149 433,149
5 433,110 450,111 435,150 451,150
7 451,112 467,113 453,150 468,150
6 469,113 484,114 470,150 484,151
plate 331,81 488,99 342,160 488,160
