24 58,433 77,433 44,476 65,476
12 79,433 98,432 66,476 87,476
33 100,432 119,431 89,475 110,475
4 128,431 148,430 120,475 141,475
0 150,430 171,429 143,475 166,475
4 173,429 194,428 168,475 191,474
4 197,428 219,427 194,474 218,474
plate 62,418 225,410 38,489 224,489
27 150,59 179,62 162,117 189,118
23 182,62 209,65 192,118 217,119
13 212,65 236,68 219,119 242,119
4 247,69 269,72 252,120 273,120
2 271,72 292,74 275,120 294,121
3 293,74 313,76 296,121 314,121
7 314,76 332,78 316,121 332,122
plate 141,33 336,61 163,132 336,133
